id,name,email,age,city,country,join_date,balance,active
1,William Moore,martinezmelissa@gmail.com,50,Port Luis,Guyana,2021-06-23,3179.91,True
2,Michele Rosario,margaret95@charles.com,53,Whiteborough,Bolivia,2024-05-26,8606.87,False
3,Jeremy Lopez,jameswatts@weaver.info,20,Arnoldton,Saint Pierre and Miquelon,2022-12-05,5641.86,True
4,Bryan Thomas,nhill@watson.org,59,Wisemouth,Uganda,2023-03-01,2153.85,True
5,Jordan Lewis,nmoore@gmail.com,33,Robbinsview,Romania,2023-05-19,2414.44,False
6,Maria Morris,dillon34@yahoo.com,68,Colleenfurt,Croatia,2023-07-26,2109.29,True
7,Jonathon Hickman,justin82@white.com,32,West Danfort,Malawi,2021-04-04,4941.98,True
8,Tony Oliver,nicoleturner@yahoo.com,36,South Darlene,Congo,2025-08-09,1286.81,False
9,Samantha Pham,yangcharles@king-adams.net,66,Caseburgh,Seychelles,2023-09-23,3781.14,False
10,Dustin Young,xmiles@drake-wall.com,34,Josephhaven,Senegal,2025-07-18,4262.74,False
11,Matthew English,patrickjones@johnson.com,50,North Angela,Eritrea,2022-06-21,1794.73,False
12,Scott Diaz,lindsay94@hotmail.com,61,Kaylaborough,French Polynesia,2021-04-04,8065.69,True
13,Ryan Edwards,adamcherry@henderson.biz,36,Davidshire,New Caledonia,2022-11-30,3254.65,False
14,Christopher Huynh,michaelpatterson@rivers.info,52,Loveborough,Paraguay,2024-10-31,2759.75,False
15,Cristian Miller,james45@chavez.com,25,South Jennifermouth,Zimbabwe,2024-10-06,6760.02,True
16,David Kline,flambert@gmail.com,60,Lake Kimberlymouth,Guernsey,2025-08-24,2321.55,False
17,John Ballard,wilsonshannon@gmail.com,48,East Jessica,Hong Kong,2023-03-19,6179.12,False
18,Emily Adams,osimmons@holmes-best.com,54,Cheyenneberg,Gabon,2021-08-26,3025.64,False
19,Tiffany Bryan,jake24@hotmail.com,34,New Scott,Norway,2021-03-19,8365.57,True
20,Parker Carter,sally90@pacheco-johnson.com,63,Bakerstad,Turkey,2025-02-22,6543.89,False
21,Michael Bradley,gary95@liu.net,26,Tuckerville,Czech Republic,2022-03-10,800.03,True
22,Tanya Strickland,allison53@morales-finley.com,52,North Jeremy,Swaziland,2025-01-12,7160.54,True
23,James Hubbard,xwong@moreno-garcia.com,20,Diazshire,Angola,2023-01-24,3601.79,True
24,Paula Bradshaw,summersdevin@hotmail.com,20,Beckstad,Japan,2021-06-02,1286.65,False
25,Jessica Tran,linda94@vargas.net,27,South Raymondmouth,Saint Kitts and Nevis,2021-03-23,2144.03,False
26,Henry Reed,brenda77@hotmail.com,55,South Matthew,Thailand,2020-11-07,4062.0,True
27,Travis Jones,rrussell@byrd.com,33,New Ginafurt,Cape Verde,2024-10-29,937.05,False
28,Jeremy Blair,gphillips@cole-hill.com,60,Elizabethshire,Saint Vincent and the Grenadines,2022-05-14,1031.1,True
29,Charles Valdez,ybrown@stevenson.info,22,North Debraberg,Qatar,2022-05-05,2968.81,False
30,Kathleen Warner,xpeck@rodriguez-white.com,28,Pearsonmouth,American Samoa,2024-08-06,6753.58,False
31,Corey Roberts,arodriguez@parker.com,68,Hicksburgh,French Polynesia,2024-07-26,4032.58,False
32,Jose Erickson,harriswalter@walker.org,65,New Andrew,Nicaragua,2021-11-20,4271.23,False
33,Andrew Turner,crawfordanna@hotmail.com,23,Port Saraville,Gibraltar,2023-12-06,9519.34,True
34,Kristin White,cbarnes@mccarthy.com,24,East Josephshire,Iraq,2022-11-22,7538.43,True
35,Dana Walker,roymartinez@gmail.com,45,Port Peggy,Togo,2025-03-28,7353.17,True
36,Anne Weeks,cmcdaniel@hotmail.com,38,Thompsonbury,Afghanistan,2025-03-05,1181.42,False
37,Amy Nelson,alexismcdonald@gmail.com,53,Josephville,Greece,2022-05-13,6529.94,True
38,Jessica Vazquez,coxnicole@ramos.com,48,Moramouth,Mozambique,2024-09-19,1812.6,False
39,Nancy Carter,travis03@gmail.com,47,West Shawn,Portugal,2023-08-28,6551.71,False
40,Leslie Brown,leahtownsend@hotmail.com,53,Lake Chadchester,New Zealand,2024-08-18,5132.62,True
41,Juan Benjamin,marshbarbara@lopez.info,21,Thomasstad,Greece,2025-07-04,2662.97,True
42,Edward Lewis,robertcain@hotmail.com,40,Thompsontown,Croatia,2023-06-02,2750.02,True
43,Patricia Owens,kevintorres@hotmail.com,39,South Brian,Guinea-Bissau,2023-05-10,7332.43,True
44,Christopher Davis,ldavid@gmail.com,52,Currybury,Afghanistan,2022-06-20,6555.0,True
45,Michele Meyer,pricekevin@yahoo.com,53,Gregoryshire,Cuba,2025-03-02,5644.48,True
